idx,timestamp,dir_prob,position_dir,position_size,actual_return,position_return,cumulative_pnl
1200,2022-02-05 00:00:00+00:00,0.5511597244289578,1,0.2046388977158311,0.008775110595402131,0.0017957289595776026,0.0017957289595776026
1201,2022-02-05 08:00:00+00:00,0.15768346975725903,-1,1.369266120970964,-0.008387251377905584,0.011484379159833151,0.013280108119410754
1202,2022-02-05 16:00:00+00:00,0.4551419613718038,0,0.0,0.0049782503624939585,0.0,0.013280108119410754
1203,2022-02-06 00:00:00+00:00,0.4650409680308597,0,0.0,-0.0024287019670081278,-0.0,0.013280108119410754
1204,2022-02-06 08:00:00+00:00,0.5889454857260302,1,0.3557819429041209,0.020850909967458118,0.007418377259541149,0.020698485378951904
1205,2022-02-06 16:00:00+00:00,0.38358007354945334,-1,0.46567970580218665,0.008913813459268005,-0.004150982029287496,0.016547503349664407
1206,2022-02-07 00:00:00+00:00,0.20113587487180765,-1,1.1954565005127695,0.025323269557076825,-0.030272867206244614,-0.013725363856580207
1207,2022-02-07 08:00:00+00:00,0.4430276330254662,-1,0.22788946789813513,0.0003652175897921684,-8.322924220477665e-05,-0.013808593098784983
1208,2022-02-07 16:00:00+00:00,0.2217950623452293,-1,1.112819750619083,0.023547934421740767,-0.026204606510796077,-0.04001319960958106
1209,2022-02-08 00:00:00+00:00,0.4550036907476161,0,0.0,-0.032268851362648385,-0.0,-0.04001319960958106
1210,2022-02-08 08:00:00+00:00,0.5254675739229375,0,0.0,0.013936880903017737,0.0,-0.04001319960958106
1211,2022-02-08 16:00:00+00:00,0.5484746027920883,0,0.0,-0.005009655799159378,-0.0,-0.04001319960958106
1212,2022-02-09 00:00:00+00:00,0.43614552823372965,-1,0.2554178870650814,0.0013814520088138921,-0.0003528475531730565,-0.04036604716275412
1213,2022-02-09 08:00:00+00:00,0.64481008570342,1,0.5792403428136801,0.010899555352867404,0.006313462179111597,-0.03405258498364252
1214,2022-02-09 16:00:00+00:00,0.5134176936818104,0,0.0,-0.0060677147948480815,-0.0,-0.03405258498364252
1215,2022-02-10 00:00:00+00:00,0.6037544136572689,1,0.4150176546290756,0.019278776325344953,0.008001032534663211,-0.026051552448979307
